image_name,labels,questions,answers
train_52,agriculture clear habitation primary road water,Create a compact details representing the region in the top-left corner and the middle of the image.,"In the top-left corner and the center of the satellite image, there is a mix of agricultural land and clear areas, suggesting human activity and land use. A small habitation is present, likely a rural settlement, connected by a primary road that runs through the area. Adjacent to this development is a body of water, such as a river or lake, which may play a role in the local agriculture and settlement patterns. The rest of the scene retains some patches of primary forest, indicating a balance between natural and developed landscapes."
train_55,partly_cloudy primary road water,Describe the types of land use found at the center-top of the image.,"The image depicts a section of dense forest with a winding dirt road or path cutting through the greenery. The road is clearly visible as a light-colored, linear feature contrasting with the dark green of the surrounding vegetation. A few scattered clouds partially obscure some areas of the forest, adding a soft, white blur over parts of the image. The overall setting suggests a remote, natural area with limited human impact, aside from the visible path."
train_57,artisinal_mine bare_ground clear primary water,Describe the region located at the center of the image.,"We can see artisinial mining in the center of the image. This phenomen occurs in bottom-left near middle of the image also.  There is also bare ground in the right-middle, some water area like river or lake in the bottom-right corner. This image is a low-resolution photograph of natural landscape including some primary forest in the middle-near-to-left, taken in clear weather."
train_58,agriculture clear primary road,Share a concise interpretation of the specific part of the image located in the left-half of the image.,"The image shows a primary road running from the left-center to the top-center, crossing agricultural land in the left half of the satellite photograph. The right half of the image is densely covered with primary forest under clear skies."
train_59,agriculture clear habitation primary road,Present a compact description of the key features in the region at the top-center of the image.,"A central road runs horizontally across the middle of the image, intersecting agricultural areas throughout the entire scene, except for a rectangular section of primary forest near the top-middle. A small settlement is visible along the road. The rectangular area in the top-middle is entirely covered with dense forest."
train_67,clear habitation primary road,Render a clear and concise summary of the right of the image.,"The image shows a network of roads intersecting throughout a semi-urban area. A primary road runs diagonally from the top-middle to the bottom-right, with several smaller roads branching off. The roads connect various habitations, which are scattered across the area, primarily in clusters. There are visible patches of agricultural land, particularly in the lower-left and upper-left sections of the image, indicating a mix of cultivated fields and developed areas. The habitation areas are interspersed with green spaces, and the overall landscape reflects a blend of residential and agricultural land use. We can also see small primary forest in center-right and top-left area. "
train_68,cloudy,Give a short and clear explanation of the designated region in the bottom-right corner of the image.,"With dense clouds covering most of the region, it's difficult to make out the image's details. The visible sections appear to be primary forest."
train_70,blooming clear primary,Describe the patterns region located at the top-rigth of the image.,The top-right area of the given staellite image presents blooming of the plants which natural phenomen occurs in forests. The other part of the image shows densely primary forest with clear weather. 
train_71,clear primary water,What is described in bottom left and top left of the image? ,"There is a water way at bottom left and top left of the image, which is surrounded by primary forest. The weather is clear."
train_72,cloudy,Share a concise interpretation of the specific part of the image located at the center.,"Dense clouds cover most of this region, hiding the finer details of the image."
train_74,agriculture partly_cloudy primary road,Explain the characteristics of the land cover in the designated area at the top-left and center of the image.,"The image illustrates a primary forest with a blend of partly cloudy skies, agriculture activity which is key factor to deforestation and road in the middle. Clouds appear in the top-left, embodying elements of partly_cloudy and primary forest."
train_75,agriculture clear primary road water,Write a terse but informative summary of the marked area at the center of the image.,"The image shows a winding, light-colored feature cutting through dense forest, likely a dirt path or road rather than a waterway, due to its uniform width and clear edges. There is small water ways in bottom-half of the image. The surrounding area is densely forested, with the path standing out as the most prominent feature."
train_79,clear cultivation primary,Give a detailed and clear explanation of the designated region in the middle-left corner of the image.,"In the middle-left corner, the image displays a cultivated area, evidence of human-induced deforestation. The other areas are primary forest under clear weather.
"
train_80,agriculture partly_cloudy primary road,Write informative summary of the marked area at the vertival center of the image.,"The image shows a partly cloudy scene with a single road running vertically from the top to the bottom center. The road cuts through a predominantly agricultural landscape, with fields visible on both sides. Some patches of darker vegetation can be seen, possibly indicating denser growth or areas of shadow, particularly in the right half of the image. The clouds partially obscure some parts of the land, but the overall view reveals a rural setting with a mix of cultivated fields and natural areas."
train_82,blooming clear cultivation habitation primary slash_burn,Provide a brief description of the area in the cenetr of the image.,"The image depicts a slash-and-burn agricultural practice, a significant driver of deforestation, with dark brown or black patches from recent burning in the center. Captured in clear weather, it also shows a blooming, cultivation, and some primary forest. There is few habitation in the middle of the image, but it is difficult to spot. "
train_84,agriculture clear habitation primary road,"Create a wider explanation representing the region in the bottom-left half of the image.""","The image depicts a road runs horizontally across the lower part of the scene, stretching from left-middle to bottom-center. To the left of the road, there are patches of agricultural land, indicating areas of human activity. Near these fields, small habitations are visible, suggesting rural settlements. The right side of the image is dominated by dense forest, with the transition from forest to deforestation clearly visible. The overall setting shows a blend of human activity and natural vegetation."
train_85,clear primary water,Render a clear and concise summary of the the patterns stretching from center-right to top-left of the image.,"Stretching from the top-left to the center-right of the image is a water body, like a river or lake. The remainder of the image shows primary forest, and the weather is clear."
train_87,cloudy,Present a compact description of the key features in the region at the top-center of the image.,"Most of the region is enveloped in dense clouds, obscuring image details. The remaining visible sections appear to be primary forest."
train_92,agriculture clear habitation primary road,Identify and describe the classes present in the top-left corner of the image.,"In the top-left corner of the image, there is a combination of agricultural land and what appears to be some small patches of habitation. The agricultural fields are likely used for farming or grazing, with clear boundaries separating different sections of land. There is also a road visible in this section, which cuts across the landscape, likely serving as an access route to the fields or connecting to other parts of the area. The overall scene suggests a rural environment with a mix of agricultural in majority part and small forest areas in the bottom-right and top-right."
train_94,agriculture clear habitation primary road,Describe the land use types visible at the top-center of the image.,"The image shows a rural landscape where agriculture is the dominant land use. There are clear, open fields likely used for farming or grazing, interspersed with patches of primary vegetation. A road runs through the area, connecting scattered habitations that are visible as small clusters or individual buildings. The overall scene reflects a mix of agricultural activity, human settlement, and remnants of natural vegetation, with the road serving as a key connector between these different elements. The clear conditions allow for a detailed view of the landscape's layout and use."
train_100,bare_ground clear water,Create a compact narrative representing the region in the bottom-left of the image.,"The image shows a large body of water dominating the right side of the scene, with clear skies above. In the lower left corner, there is a small patch of bare ground visible, possibly an area of exposed earth or a shoreline. The contrast between the expansive water surface and the minimal bare ground area highlights the dominance of the water feature in the landscape. The clear conditions provide a sharp view of both the water and the small section of land."
train_101,cloudy,Render a clear and concise summary of the center-right of the image.,"Dense clouds primarily cover this area, making it hard to discern specific details. The uncovered parts seem to indicate primary forest."
train_103,agriculture clear habitation primary road water,Explain the land cover characteristics in the top-right section of the image.,"The image shows a large body of brownish water occupying the lower left portion, with a strip of land and habitation running along the shoreline in the upper right. This land area appears to be a mix of cleared and vegetated sections, suggesting agricultural activity. Small white structures, likely habitation, are scattered near the shore, indicating human settlement. The primary road is not distinctly visible in this image, but the arrangement of the features suggests it might be present along the cleared or vegetated areas close to the water's edge. The landscape is predominantly rural with signs of both natural and human-made elements."
train_108,cloudy,Create a compact narrative representing the region in the middle of the top half of the image.,"The region is predominantly covered with thick clouds, hiding the image's details."
train_121,partly_cloudy primary water,Create a compact narrative representing the region in the middle of the top half of the image.,"Captured in a mix of clear skies and partly cloudy weather, this image showcases huge water way like lake or river and a primary forest. The top-left displays some clouds, representing partly_cloudy and water."
train_123,agriculture bare_ground clear habitation primary road,Identify and describe the features present in the right side of the image.,"The image shows a rural landscape where a primary road runs diagonally through the scene, cutting through areas of dense vegetation and connecting several habitations. There are patches of bare ground visible, likely cleared areas near the habitations or along the road. Agricultural fields are evident in the upper part of the image, where the land appears. The habitation structures are scattered along the road, with some buildings more clearly visible near the center of the image. The overall landscape reflects a mix of natural forest, human settlement, and agricultural activity, with the road serving as a key feature linking these elements."
train_124,bare_ground clear primary,Describe the image in detail.,"The image depicts a landscape under clear conditions, with primary forest dominating most of the scene. There are small patches of bare ground scattered throughout the forest, which may indicate cleared areas or natural clearings. The bare ground is minimal, with the dense forest cover remaining largely intact. The overall scene suggests a natural environment with only minor disruptions in the form of these scattered clearings."
train_126,agriculture clear primary road,Detail the area located in bottom and left side  of the image.,"The image shows a predominantly agricultural landscape with large, clear fields. In the center of the scene, there is a small, isolated patch of dense vegetation, likely a remnant of primary forest, standing out against the surrounding cleared land. The fields are vast and open, indicating extensive cultivation, but no primary road is immediately visible within this particular image. The scene emphasizes the dominance of agricultural activity, with only a small area of natural vegetation remaining amidst the expansive farmland."
train_129,agriculture clear primary,Give a brief overview of the section in the lower part of the image.,"The lower part of the image displays a landscape where agricultural fields border a dense area of primary forest. The fields are clearly delineated, with different plots showing varying stages of cultivation or possibly differing crop types. The forested area is dark green, indicating a thick canopy, and it forms a sharp boundary with the cultivated land. The scene emphasizes the transition from managed farmland to untouched forest."
train_131,agriculture clear primary road water,Provide a short explanation of the top-left area in the image.,"The image features a landscape with agricultural fields spread across the area. A primary road runs through the scene, connecting different parts of the landscape, likely facilitating access to the agricultural zones. On the right side of the image, a body of water is visible, forming a natural boundary to the cultivated land. The water appears muddy, suggesting it might be a river or a lake with sediment. The overall scene highlights the interaction between agriculture, infrastructure, and natural water resources under clear skies."
train_142,agriculture clear habitation primary road,Summarize the key elements of the region in the top-left part of the image.,"The image displays a landscape where several small, winding paths or roads converge, creating a network that cuts through a predominantly agricultural area. The land appears mostly cleared for agriculture, with patches of vegetation still present, likely remnants of primary forest. The fields are irregularly shaped, and the darker green areas suggest either denser vegetation or possibly areas of less intensive farming. There is a small structure located near the center, indicating some form of habitation or agricultural building. The scene reflects a rural area with a mix of cultivated land and remaining natural vegetation, connected by a network of narrow roads."
train_144,agriculture partly_cloudy primary selective_logging,Describe the types of land use found in the middle of the image. Also what cen be seen in bottom-left and top-right of the given image.,"The image displays a primary forest with clear skies interspersed with some clouds. The clouds are located in the left bottom-left and top-right corners, highlighting partly_cloudy and primary aspects. The presence of agriculture and selective logging activities is causing substantial deforestation in the region."
train_148,agriculture clear cultivation primary water,Share a concise interpretation of the specific part of the image located in the bottom-left and middle-right.,"The image features a cultivated area in the bottom-left, indicating human-induced deforestation. Agricultural activities are evident in the middle-right, with a waterway, like a river or lake, runs from the middle-left to middle-right near top-right. The remaining portions of the image are primary forest under clear weather."
train_151,agriculture clear cultivation primary selective_logging,Present a compact description of the key features in the region at the top-right corner of the image.,"The top-right corner of the image depicts a cultivated area and agriculture activity, a result of human-induced deforestation. The rest of the image is primary forest and selective logging with clear weather."
train_157,agriculture partly_cloudy primary,Provide details about the activities or features visible in the region at the -bottom-left of the image. Give details about rigth-center also.,"The image shows a primary forest under clear skies with some clouds in the bottom-right corner. This partly_cloudy setting, combined with human activities like agriculture highlights primary aspects and significant deforestation."
train_158,agriculture clear primary water,Offer a concise description of the region in the left half of the image.,"The image captures a landscape where agricultural fields in the left half area are juxtaposed with a dense area of primary forest. The forest occupies the right side of the image, with its dark green hue contrasting sharply with the lighter, cleared fields on the left. A narrow water body, possibly a stream or small river, runs through the cleared land, dividing the agricultural area and the forest. The water appears dark, likely due to the shadow cast by the surrounding vegetation or the depth of the water. The scene illustrates the interaction between human agricultural activities and the natural environment, with water serving as a natural divider between the cultivated land and the untouched forest."
train_159,agriculture clear primary road,Interpret the specific area located at the center of the image in a detailed statement.,"The image shows a landscape where agricultural fields are adjacent to a dense area of primary forest. The forest is located on the right side, with its dark green color contrasting against the lighter, cleared agricultural fields to the left. The cleared area appears to have irregular boundaries, suggesting varying levels of cultivation or possibly deforestation. A primary road is visible, running along the edge of the forest and providing access to the agricultural fields. The scene highlights the clear division between the natural forest and the human-modified agricultural land, connected by the road that serves as a boundary between these two types of land use."
train_162,agriculture partly_cloudy primary,Write a terse but informative summary of the area at the bottom-center and top-left of the image.,"This picture depicts a primary forest with clear skies and clouds positioned in the top-left and right-center sides. Partly_cloudy weather and human activities, including agriculture contribute to deforestation."
train_166,clear primary road selective_logging water,Present a detailed description of the key features in the region at the top-center of the image.,"A body of water, possibly a river or lake, crosses the image through the top of the image, with primary forest covering the other parts in clear weather. We can see some selective loggin as well around the middle area of the image. "
train_167,agriculture habitation partly_cloudy primary road,Describe the activities or features evident in the center region of the image.,"The image displays a landscape with a mix of agricultural fields and dense primary forest. A clear demarcation between the cultivated land and the forested area is visible. A small cluster of structures, indicating habitation, is situated near the center, where the agricultural land meets the forest. The presence of a primary road is suggested by the linear divisions between the fields, likely running alongside the edge of the forest. The sky above is partly cloudy, with a few clouds casting shadows on the land below. The scene highlights the contrast between human-altered agricultural land and the untouched primary forest."
train_168,cloudy,Summarize the visual content of the region in the top-left corner of the image.,"The region is largely covered with dense clouds, obscuring the details of the image. The other areas appear to be primary forest"
train_171,agriculture clear primary road,Deliver a compact outline of the main features in the upper part of the image.,"The image depicts a landscape where a dense primary forest occupies the lower portion, contrasting with the lighter, cleared agricultural fields above it. A primary road is visible, curving through the cleared area and running alongside the boundary between the forest and the fields. The road serves as a clear dividing line between the natural, untouched forest and the human-altered agricultural landscape. The scene highlights the sharp contrast between the dense, dark green forest and the lighter tones of the cultivated land, emphasizing the impact of human activity on the environment."
train_174,cloudy,Describe the types of land use found at the center-top of the image.,"With dense clouds covering most of the region, it's difficult to make out the image's details."
train_185,agriculture artisinal_mine clear cultivation habitation primary road water,"Relay a brief, clear account of the center of the image.","The main part of the image represents a cultivated area, artisinal mining, habitation human-induced deforestation. Agricultural fields are seen in the middle, and a waterway, either a river or lake, is in the middle-left. The other sections of the image are primary forest with clear skies."
train_187,artisinal_mine clear primary road,Provide a brief description of the area in the top-right corner of the image.,"The image shows artisinal mining in the whole right side of the image, with similar activity occurring in the bottom-left corner. There isroad in the right-middle.  This low-resolution photograph of a natural landscape includes some primary forest in the left side, taken in clear weather."
train_202,clear habitation road,Identify and discuss the categories present in the bottom-right section of the image.,"The image depicts a densely populated urban area with a clear grid-like pattern of roads running throughout. The scene is dominated by habitation, with numerous buildings and structures closely packed together. The roads are well-defined, crisscrossing the entire area and providing clear boundaries for residential and commercial zones. The sky above is clear, with no visible cloud cover, allowing for a sharp view of the urban layout below. The overall impression is of a well-organized, developed area with significant human presence and infrastructure."
train_207,bare_ground clear primary road,Provide details about the activities or features visible in the region at the bottom-left of the image.,"The image shows a landscape dominated by bare ground, with a clear view of a primary road running diagonally through the scene. The road cuts across the mostly barren terrain, which appears to have minimal vegetation, possibly due to natural conditions or land clearing. There are small patches of greenery visible, but the area is predominantly characterized by exposed earth. The clear weather allows for an unobstructed view of the road and the surrounding landscape, with no significant signs of dense forest or primary vegetation. The overall scene suggests a dry or sparsely vegetated area, with the road serving as a prominent feature in the landscape."
train_211,clear habitation primary road,Create a concise narrative of the region located in the bottom-middle part of the image.,"The image shows an urban area with a clear pattern of habitation, where buildings and houses are densely clustered. A primary road runs prominently through the scene, dividing the area into distinct sections. The road serves as a major thoroughfare, with smaller streets branching off it, connecting various parts of the settlement. The sky is clear, allowing for an unobstructed view of the urban landscape. There is a mix of both densely built-up areas and patches of greenery, indicating a blend of residential zones with some natural spaces."
train_213,agriculture clear primary road water,Relay a succinct account of the right section of the image.,"The image shows a landscape where a winding waterway flows through an area of mixed land use, with agricultural fields and patches of dense primary forest. The waterway, possibly a river or stream, meanders through the scene, forming a natural boundary between the forested and agricultural areas. A primary road is visible, running parallel to the waterway and providing access to both the cultivated land and the forest. The cleared areas indicate agricultural activity, while the darker green sections represent the dense forest. The scene highlights the interaction between natural water resources, human infrastructure, and land use in a rural setting."
train_215,haze primary water,"Relay a brief, clear account of the bottom and center which is close to the right  of the image.",A water way like river or lake is described in the bottom and right-center of the image. The hazy conditions make it difficult to identify exact details.
train_217,bare_ground clear primary,Explain the characteristics of the land cover in  the image,"The image shows a landscape predominantly characterized by bare ground, with large expanses of exposed earth visible throughout the scene. There are some areas of primary forest along the edges of the image, where the dense greenery contrasts with the surrounding barren land. The clear conditions allow for a clear view of the transition between the forested areas and the bare ground. The overall scene suggests a region where the land has been significantly cleared or naturally lacks vegetation, with only small patches of primary forest remaining intact along the periphery."
train_225,agriculture clear cultivation habitation primary road,Write a brief but informative account of the bottom-left and the middle area of the image.,"The image shows a landscape characterized by a mix of agricultural fields and patches of primary forest. Cultivated areas are interspersed with greenery, suggesting a balance between natural vegetation and land used for farming. A primary road runs through the bottom-left of the scene, with habitation visible along its edges, indicating a rural community. The road connects various agricultural plots and residential areas, creating a network within the landscape. The sky is clear, allowing for a detailed view of the land's use, where farming, habitation, and natural forest coexist."
train_228,agriculture haze primary road water,"Relay a brief, clear account of the bottom-left corner of the image.","This image portrays a primary forest during a misty day. The dense green trees are prominently visible in the center-bottom section, with a road cutting through the middle. A waterway is visible on the left side, stretching from the left-center to the bottom-left. The haze makes it hard to see specific details."
train_230,agriculture bare_ground habitation partly_cloudy primary road,Describe the types of land use found at the center-left of the image.,"The image shows a semi-urban landscape under partly cloudy skies with some bare ground fields. A primary road runs diagonally through the scene, intersecting areas of habitation and agricultural fields. The habitation areas are clustered along the road, with structures visible amidst patches of bare ground. Agricultural fields are spread out in a checkerboard pattern, interspersed with the developed areas. The clouds cast shadows over parts of the landscape, adding some variability to the lighting. The overall scene reflects a mix of rural and urban elements, with the road serving as a central feature connecting the different land uses."
train_237,artisinal_mine clear primary road water,Offer a detailed explanation of the bottom half of the image.,"Artisinal mining is visible in the bottom half of the image, as well as in the top-right. Road appears in the left-middle and continues until the middle of the image making ""fishbone"" scene by splitting into several smalls roads when it reaches to the middle of the landscape.A water area, like a river or lake, is in the bottom-right corner. The image, taken in clear weather, is a low-resolution photograph of a natural landscape that includes primary forest in the top-left corner."
train_239,bare_ground clear primary water,Provide a brief description of the area in the top of the image.,"The image shows a landscape under clear conditions, with a mix of dense primary forest and areas of bare ground. The bare ground is visible near the top of the image, possibly indicating land that has been cleared or naturally lacks vegetation. In contrast, the lower portion of the image is covered by primary forest, with a few small water bodies scattered throughout the greenery. The water bodies are partially surrounded by vegetation in the middle-rigth, blending into the natural landscape. The scene presents a contrast between the intact forest and the exposed earth, highlighting the transition from natural to altered terrain."
train_241,agriculture haze primary road,"What is described in bottom-left of the image, tell me the thing lays from top-center to left-center of the image? ","It seems the image contains primary forest with hazy weather. There is a road in the bottom-left of the scene. Also, a road is described which lays from top-center to left-center of the image."
train_245,clear primary blooming,Can you detail the region displaying patterns located at the center of the image?,"In the middle section of the satellite image, the blooming of plants, a natural phenomenon in forests, is visible. The rest of the image displays a dense primary forest under clear skies."
train_247,agriculture clear cultivation habitation primary road selective_logging,Describe the types of land use found at the center and bottom-left of the image.,"The image shows an area under a clear sky, with dense forest covering most of the scene. A road cuts through the bottom-left corner, leading to a small habitation area surrounded by agricultural fields. The fields indicate cultivation activity, likely supporting the local settlement. A narrow, lighter-colored path can be seen cutting through the forest, suggesting selective logging activity. This logging trail winds its way from the road into the dense vegetation, indicating some level of resource extraction within the forested area. The combination of these features reflects a landscape where human activities such as agriculture and logging are integrated with natural forested areas."
train_255,agriculture clear habitation primary road,Summarize the key details of the center area of the image.,"The image depicts a landscape where a primary road cuts horizontally across the center of the scene, dividing areas of agriculture and habitation. On one side of the road, small structures indicative of habitation are clustered together, surrounded by patches of cultivated land. The other side features more natural, possibly uncultivated, areas with denser vegetation. The scene suggests a rural setting with clear skies, where human settlement and agricultural activities are closely linked to the road network. The overall layout emphasizes the relationship between infrastructure and land use in the area."
train_258,clear habitation primary road,Deliver a compact outline of the main features in the bottom-right region of the image.,"The image shows a landscape where a network of roads is laid out in a grid pattern, suggesting a planned area for habitation, which is particularly visible in the bottom-right corner. The roads divide the land into distinct plots, likely for future development or agriculture. The top part of the image is dominated by dense primary forest, contrasting sharply with the cleared land below. The overall scene highlights the transition from untouched natural areas to planned human settlement under clear skies, with the primary road network serving as the framework for this development."
train_268,agriculture clear habitation primary road,Interpret the specific area located at the top and bottom of the image in a brief statement.,"The image displays a landscape where a road runs diagonally through the scene, cutting across a mix of dense primary forest and cleared areas. The forested region is dark green and occupies a significant portion of the image, while the surrounding areas show signs of deforestation or agricultural activity, with lighter patches of land. The road serves as a dividing line between these contrasting landscapes, indicating human impact on the natural environment. The clearings near the road suggest possible habitation or farming activities. The image captures the interplay between natural forest and human-modified land."
train_274,artisinal_mine clear primary road water,Summarize the visual content of the region in the bottom of the image.,"We can see artisinal mining, which occurs in nearly whole wide of the image. The right half section shows several small roads, while the top-left corner features a water body, possibly a river or lake. This low-resolution photograph captures a natural landscape with very few  forest trees in the left-middle, taken on a clear day. This image reperents deforestation in majority part of the landscpae. 
"
train_281,clear primary selective_logging,Explain the characteristics of the land cover in the designated area at the right corner of the image.,"The image shows an area under a clear sky, dominated by dense primary forest. Within the forest, subtle lighter paths can be seen, indicating selective logging activity. These trails are sparse and blend into the forest canopy, suggesting minimal disruption. The overall landscape remains largely intact, with the selective logging areas not significantly altering the vast expanse of primary forest. The image reflects a natural environment with limited human intervention."
train_286,agriculture artisinal_mine clear primary water,Give a detailed and clear explanation of the designated region in the center of the image.,"The center of the image displays artisinal mining. The bottom-left part presents agriculture activity, and there's a water body, like a river or lake, in the same place. This low-resolution photograph of a natural landscape, taken in clear weather, includes some primary forest in the right half of the scene."
train_311,agriculture clear habitation primary road,Give me a concise description of the region in the top-right of the image.,"The image presents a landscape where agricultural fields and areas of habitation are interspersed in the top-right corner, with patches of dense primary forest. A primary road runs through the scene, connecting various parts of the landscape, including fields and settlements. The agricultural land is clearly visible, with defined plots, while the forested sections appear as dark green patches, indicating the presence of natural vegetation. The habitation areas are scattered near the road, suggesting a rural community reliant on both farming and the natural environment. The overall scene highlights the interaction between human activities and the surrounding natural landscape."
train_315,agriculture haze primary road,Write a terse but informative summary of the marked area at the center-left of the image.,"Captured in hazy weather, this image depicts a primary forest. The central-left part is densely packed with green trees, intersected by a road. On the bottom side, an agriculture activity can be detected runs from the bottom-right to the bottom-center. The haze obscures clear identification of the details."
train_394,blooming clear primary,Provide a description of the patterned section found in the image's left-middle area.,"The satellite image's left-middle area reveals the blooming of plants, a common forest phenomenon, while the other sections depict dense primary forest under clear conditions."
